Date,Close/Last,Volume,Open,High,Low
04/11/2024,70856.70,N/A,70851.60,70972.90,70005.40
04/10/2024,70888.60,N/A,68658.60,71049.90,70300.50
04/09/2024,69090.50,N/A,71287.70,69574.90,68500.30
04/08/2024,71262.20,N/A,69451.60,71737.20,70902.30
04/07/2024,69389.80,N/A,69419.50,69788.60,69110.50
04/06/2024,69494.30,N/A,67797.70,69739.70,68849.40
04/05/2024,67740.60,N/A,67872.10,68053.30,67467.20
04/04/2024,67804.40,N/A,65623.90,68692.20,67472.80
04/03/2024,65674.00,N/A,66227.20,66349.00,65541.00
04/02/2024,66135.40,N/A,66712.80,66135.40,64559.00
04/01/2024,66745.40,N/A,70604.10,69673.00,66484.60
03/31/2024,70615.80,N/A,69918.60,71329.30,70543.60
03/30/2024,69926.60,N/A,69781.00,70143.20,69576.60
03/29/2024,69809.30,N/A,70446.80,70158.90,69736.10
03/28/2024,70447.10,N/A,69302.40,70907.00,70315.60
03/27/2024,69240.40,N/A,70382.10,69913.70,68956.90
03/26/2024,70434.10,N/A,70438.60,70714.10,69839.30
03/25/2024,70497.40,N/A,67322.50,70603.10,69754.80
03/24/2024,64824.20,N/A,64501.90,65257.20,64243.20
03/23/2024,64111.40,N/A,63570.40,64684.00,63938.10
03/22/2024,63389.00,N/A,65968.60,64324.30,63074.90
03/21/2024,65947.20,N/A,66746.40,66133.90,65151.80
03/20/2024,66467.40,N/A,61826.50,68161.70,66463.60
03/19/2024,62428.40,N/A,65860.50,63397.20,61859.50
03/18/2024,65734.70,N/A,67951.40,68099.60,64940.60
03/17/2024,68020.20,N/A,66501.50,68389.70,66849.10
03/16/2024,66494.70,N/A,69227.30,66540.10,65160.80
03/15/2024,69253.80,N/A,68177.70,70037.00,68967.20
03/14/2024,68937.10,N/A,73257.10,72398.10,67110.10
03/13/2024,73237.70,N/A,72034.30,73285.30,72530.50
03/12/2024,72074.40,N/A,71606.20,72193.50,71338.40
03/11/2024,71670.10,N/A,68600.20,72467.10,71519.90
03/10/2024,68506.20,N/A,69169.70,68966.10,67452.80
03/09/2024,69484.50,N/A,68298.60,69676.40,68250.30
03/08/2024,68289.50,N/A,67152.10,68343.70,67923.90
03/07/2024,67079.50,N/A,65862.10,67270.90,66787.80
03/04/2024,67802.90,N/A,63459.60,68714.20,67637.10
03/03/2024,63605.80,N/A,61937.90,64261.60,62746.80
